gsis_id,full_name,position,age,games_observed,injuries,games_missed,raw_rate,prior_rate,shrunk_rate,expected_missed_per_17,most_common_injury
00-0040666,Omarion Hampton,RB,23.5,19,2,8,0.421,0.181,0.308,5.2,Ankle
00-0039794,Braelon Allen,RB,22.6,36,1,13,0.361,0.181,0.303,5.2,Knee
00-0037085,Tyler Badie,RB,27.6,35,1,13,0.371,0.159,0.302,5.1,Back
00-0034419,Braxton Berrios,WR,30.9,35,1,13,0.371,0.156,0.301,5.1,Hamstring
00-0038579,Aidan O'Connell,QB,28.0,36,2,14,0.389,0.087,0.292,5.0,Wrist
00-0041366,Jameson Geers,TE,23.7,2,1,2,1.0,0.211,0.294,5.0,
00-0040203,Will Howard,QB,24.9,19,1,9,0.474,0.088,0.291,5.0,Hand
00-0041483,Eli Stowers,TE,23.4,2,1,2,1.0,0.211,0.294,5.0,Hamstring
00-0040901,Jaren Kanak,TE,22.6,2,1,2,1.0,0.211,0.294,5.0,
00-0040429,Josh Williams,RB,26.2,16,2,7,0.438,0.159,0.294,5.0,Concussion
00-0031610,Darren Waller,TE,34.0,19,3,8,0.421,0.124,0.281,4.8,Hip
00-0040240,Caleb Lohner,TE,24.9,2,1,2,1.0,0.188,0.274,4.7,
00-0041451,Brock Rechsteiner,WR,24.0,2,1,2,1.0,0.194,0.279,4.7,
00-0040955,John Michael Gyllenborg,TE,24.1,2,1,2,1.0,0.188,0.274,4.7,
00-0040570,Jeremiah Webb,WR,25.3,2,1,2,1.0,0.194,0.279,4.7,
00-0041087,Joe Royer,TE,24.5,2,1,2,1.0,0.188,0.274,4.7,
00-0040938,DJ Rogers,TE,24.8,2,1,2,1.0,0.188,0.274,4.7,
00-0041170,Hayden Large,TE,24.4,2,1,2,1.0,0.188,0.274,4.7,
00-0040853,Carson Towt,TE,25.3,2,1,2,1.0,0.188,0.274,4.7,
00-0031408,Mike Evans,WR,33.0,36,3,12,0.333,0.156,0.277,4.7,Hamstring
00-0039603,British Brooks,RB,26.8,36,1,12,0.333,0.159,0.277,4.7,
00-0041005,Corey Rucker,WR,24.2,2,1,2,1.0,0.194,0.279,4.7,
00-0036842,Kene Nwangwu,RB,28.6,25,3,9,0.36,0.144,0.272,4.6,Back
00-0038090,Skyy Moore,WR,26.0,36,1,11,0.306,0.194,0.27,4.6,
00-0039144,Luke Musgrave,TE,26.0,36,2,11,0.306,0.188,0.268,4.6,Ankle
00-0039739,Roman Wilson,WR,25.2,36,2,11,0.306,0.194,0.27,4.6,Hamstring
00-0039936,Thomas Yassmin,TE,26.9,2,1,2,1.0,0.182,0.268,4.6,
00-0039686,Colson Yankoff,TE,26.5,36,3,11,0.306,0.182,0.266,4.5,Hamstring
00-0034365,Ian Thomas,TE,30.2,36,2,12,0.333,0.124,0.266,4.5,Calf
